PMID,Title,Authors,Year,Date,Link,Journal,DOI,Keywords
41962141,Emergence of Medetomidine in New York's Illicit Drug Supply.,Angles JS; Zamboni LM; Sauer J; Fallico M; Dominguez-Gomez L; Delvecchio A; Helmy H; Reinicke S; Zaidi I; Okon B; Tuazon E; Cooper G; Linn-Walton R; Holtgrave DR,2026,2026-05-01,https://pubmed.ncbi.nlm.nih.gov/41962141/,NEJM evidence,10.1056/EVIDpha2600045,N/A
41825354,Using drug checking data to model the relationship between the prevalence of fentanyl and xylazine to drug overdose deaths in New York City.,Sauer J; Estrada Y; Gomez LD; Zaidi I; Okon B; Helmy H; Tuazon E,2026,2026-05-01,https://pubmed.ncbi.nlm.nih.gov/41825354/,The International journal on drug policy,10.1016/j.drugpo.2026.105206,Drug Supply Monitoring; Drug checking; Drug overdose; Generalized Additive Models; Harm reduction; Surveillance
41716295,U.S. Health department roles and challenges in conducting contact evaluation for tuberculosis aircraft contact investigations.,Swisher S; Salerno MM; Gertz A; Toren KG; Gearhart S; Wang SH; Weigelt D; Young L; Zaborowski E; Squire EF; Hercules Y; Wegener DH; Mase S,2026,2026-05-01,https://pubmed.ncbi.nlm.nih.gov/41716295/,Journal of clinical tuberculosis and other mycobacterial diseases,10.1016/j.jctube.2026.100589,Air travel; Border health; Health security; Tuberculosis contact investigation; Tuberculosis transmission risk
41439759,"Repeat Gonorrhea Diagnosis Rates and Associated Characteristics, STI Surveillance Network, 2016-2022.",Schumacher CM; Fernando R; Rampe T; Klingler EJ; Nguyen TQ; Amiya RM,2026,2026-05-01,https://pubmed.ncbi.nlm.nih.gov/41439759/,Sexually transmitted diseases,10.1097/OLQ.0000000000002289,N/A
42061970,Social determinants of health and recommended A1C monitoring among women with postpartum-onset diabetes: results from a retrospective cohort.,Boychuk NA; McCarthy KJ; Liu SH; Howell FM; Wu B; Albrecht SS; Chan HT; Kennedy J; Seil K; Tabaei B; Vieira L; Mayer V; Janevic T,2026,2026-04-30,https://pubmed.ncbi.nlm.nih.gov/42061970/,BMJ open diabetes research & care,10.1136/bmjdrc-2025-005745,"Diabetes Mellitus, Type 2; Health Services; Healthcare Disparities; Women's Health"
42054918,Using a life table to quantify survival-related selection bias in studies of racial health disparities.,Xia Q; Manandhar-Sasaki P; Bertolino D; Torian LV; Edelstein ZR; Zheng Y,2026,2026-04-27,https://pubmed.ncbi.nlm.nih.gov/42054918/,Social science & medicine (1982),10.1016/j.socscimed.2026.119341,N/A
42026518,"Dietary behaviors, lifestyle habits, food insecurity risk and depressive symptoms among New York City adolescents: a cross-sectional study.",Jackson J; Conigliaro T; Fenlon J; Solomon E; A Dowling E; Dreisbach N; Hamwey M,2026,2026-04-23,https://pubmed.ncbi.nlm.nih.gov/42026518/,BMC pediatrics,10.1186/s12887-026-06819-1,Dietary behaviors; Food insecurity risk; Lifestyle habits; New York City; Self-reported depressive symptoms; Students
41990278,Age Adjustment in Racial Disparity Analyses.,Xia Q; Torian LV; Edelstein ZR,2026,2026-04-16,https://pubmed.ncbi.nlm.nih.gov/41990278/,American journal of public health,10.2105/AJPH.2026.308515,N/A
41979329,"Electrical power outages and asthma-related emergency department visits in New York City, 2018-2022.",Flores NM; Rudolph KE; Spira-Cohen A; Walters S; Do V; Northrop AJ; Hernández D; Lovinsky-Desir S; Perzanowski MS; Casey JA,2026,2026-04-14,https://pubmed.ncbi.nlm.nih.gov/41979329/,"Epidemiology (Cambridge, Mass.)",10.1097/EDE.0000000000001991,asthma exacerbations; climate change; energy justice; housing and health; power outages
41785680,Does human papillomavirus vaccination status differ by disability status in New York city public schools?,Lyons AJ; Mhatre MM; Argenio K; Day S; Ternier A; McDermott S; Jones HE,2026,2026-04-11,https://pubmed.ncbi.nlm.nih.gov/41785680/,Vaccine,10.1016/j.vaccine.2026.128404,Autism; Developmental disability; Intellectual disability; Vaccination
41944558,Antiracism Pedagogy in Medical Education.,Abbasi H; Fleuristal J; Legros NC; Eyssallenne AP,2026,2026-04-09,https://pubmed.ncbi.nlm.nih.gov/41944558/,The New England journal of medicine,10.1056/NEJMp2602091,N/A
41920471,"National HIV Behavioral Surveillance Among Women of Transgender Experience and Transfeminine People in Nine Cities in the United States, 2023-2024.",Al-Tayyib A; Glick SN; Wilson EC; Olsson T; Rivera AV; Ma Y; Leonard CM; Nassau T; Barak N; McFarland W,2026,2026-04-01,https://pubmed.ncbi.nlm.nih.gov/41920471/,AIDS and behavior,10.1007/s10461-026-05116-3,Behavioral factors; HIV; Prevention; Transfeminine; Transgender
41918451,Blood Lead Levels ≥ 45 mcg/dL in Pregnancy: An Observational Study.,Trim A; Ehrlich J; Sedlar S,2026,2026-04-01,https://pubmed.ncbi.nlm.nih.gov/41918451/,BJOG : an international journal of obstetrics and gynaecology,10.1111/1471-0528.70220,ayurvedic remedies; blood lead level; chelation; lead poisoning in pregnancy; pica
41748129,Addressing Unintended Teen Pregnancy Through Reproductive Health Service Delivery by School Nurses and Physicians.,Fisher R; Haller PS; Danza P; Collier KL; Tiezzi L,2026,2026-04-01,https://pubmed.ncbi.nlm.nih.gov/41748129/,The Journal of school health,10.1111/josh.70080,contraception; program evaluation; reproductive health; school nursing; teenagers
41618638,Measurement and Correlates of Peer Social Support During Brief Psychiatric Treatment: The Fellow Travelers in Treatment Scale.,Peckham AD; Winer JP; Dattolico DB; Björgvinsson T; Beard C,2026,2026-04-01,https://pubmed.ncbi.nlm.nih.gov/41618638/,Journal of clinical psychology,10.1002/jclp.70086,partial hospitalization; peer support; social connection; social contact; social support
41449496,Integrating Hepatitis C Virus Services for People Who Use Drugs into Inpatient Substance Use Disorder Treatment Programs Via Telehealth.,Riazi F; Green C; Smalls S; Hunter A; Diaz Munoz D; Fuseau I; Giardina M; Herrera J; Idlett R; Khatun U; Kutscher E; Weiss JJ,2026,2026-04-01,https://pubmed.ncbi.nlm.nih.gov/41449496/,Telemedicine journal and e-health : the official journal of the American Telemedicine Association,10.1177/15305627251406807,People Who Inject Drugs (PWID); community health worker; hepatitis C virus (HCV); homelessness; inpatient substance use treatment; telehealth; telemedicine
41261884,Piloting a Point-of-Care Drug-Checking Service at Syringe Service Programs in New York City.,Estrada Y; Helmy HL; Jordan AE; Trinidad AJ; Dominguez Gomez L; Zaidi I; Sauer J; Harocopos A,2026,2026-04-01,https://pubmed.ncbi.nlm.nih.gov/41261884/,Substance use & addiction journal,10.1177/29767342251376805,Fourier-transform infrared; drug checking; drug overdose; harm reduction; spectroscopy
